total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
26,2400,18,18,5,2347,5100,12,Team Vitality,224085,76561197978835160,flameZ
26,8200,19,16,4,1893,7950,14,3DMAX,224085,76561198045739761,Maka
26,2200,15,17,3,1851,5100,12,Team Vitality,224085,76561197991272318,ropz
26,12500,24,16,6,2325,6100,14,3DMAX,224085,76561198168198200,Ex3rcice
27,7600,23,13,9,2428,5100,14,3DMAX,233692,76561198031890115,Lucky
27,7400,18,20,7,2068,5100,14,3DMAX,233692,76561198179538505,Graviti
27,6900,22,19,4,2179,5800,13,Team Vitality,233692,76561197973140692,mezii
27,5550,20,18,7,2452,7150,13,Team Vitality,233692,76561198113666193,ZywOo
27,7600,10,22,7,1399,5100,14,3DMAX,233692,76561198047876970,Djoko
27,7650,12,22,3,1324,5050,13,Team Vitality,233692,76561197989744167,apEX
27,6900,18,19,6,2428,5800,13,Team Vitality,233692,76561197978835160,flameZ
27,7600,19,17,5,1893,5100,14,3DMAX,233692,76561198045739761,Maka
27,7300,17,17,4,2074,4600,13,Team Vitality,233692,76561197991272318,ropz
27,7700,25,17,6,2425,5000,14,3DMAX,233692,76561198168198200,Ex3rcice
28,5800,24,14,9,2528,5100,14,3DMAX,245775,76561198031890115,Lucky
28,5300,19,21,7,2154,5100,14,3DMAX,245775,76561198179538505,Graviti
28,9100,22,19,4,2179,5300,14,Team Vitality,245775,76561197973140692,mezii
28,2100,21,19,7,2552,7250,14,Team Vitality,245775,76561198113666193,ZywOo
28,5200,10,23,7,1399,5100,14,3DMAX,245775,76561198047876970,Djoko
28,10500,15,22,3,1616,5600,14,Team Vitality,245775,76561197989744167,apEX
28,9200,18,19,6,2436,5600,14,Team Vitality,245775,76561197978835160,flameZ
28,5000,19,18,5,1893,5000,14,3DMAX,245775,76561198045739761,Maka
28,5500,18,18,4,2174,5800,14,Team Vitality,245775,76561197991272318,ropz
28,4900,25,18,6,2439,5300,14,3DMAX,245775,76561198168198200,Ex3rcice
29,3400,24,15,9,2528,5400,14,3DMAX,252977,76561198031890115,Lucky
29,2700,19,22,7,2154,5400,14,3DMAX,252977,76561198179538505,Graviti
29,7000,22,20,4,2180,5800,15,Team Vitality,252977,76561197973140692,mezii
29,3700,21,19,7,2552,8150,15,Team Vitality,252977,76561198113666193,ZywOo
29,2800,10,24,7,1399,5400,14,3DMAX,252977,76561198047876970,Djoko
29,8600,18,23,4,1952,6300,15,Team Vitality,252977,76561197989744167,apEX
29,11800,19,19,6,2536,5600,15,Team Vitality,252977,76561197978835160,flameZ
29,850,19,19,5,1893,7450,14,3DMAX,252977,76561198045739761,Maka
29,8000,19,18,4,2237,5600,15,Team Vitality,252977,76561197991272318,ropz
29,2700,27,19,6,2670,5600,14,3DMAX,252977,76561198168198200,Ex3rcice
30,7600,24,15,9,2528,5100,15,3DMAX,259701,76561198031890115,Lucky
30,7600,19,22,7,2154,5100,15,3DMAX,259701,76561198179538505,Graviti
30,7000,22,21,4,2204,5700,15,Team Vitality,259701,76561197973140692,mezii
30,5450,21,20,7,2552,7250,15,Team Vitality,259701,76561198113666193,ZywOo
30,7600,11,24,7,1499,5100,15,3DMAX,259701,76561198047876970,Djoko
30,7650,18,24,4,1963,5050,15,Team Vitality,259701,76561197989744167,apEX
30,7250,19,20,6,2539,5450,15,Team Vitality,259701,76561197978835160,flameZ
30,5150,21,19,5,2093,7350,15,3DMAX,259701,76561198045739761,Maka
30,7300,19,19,4,2237,5400,15,Team Vitality,259701,76561197991272318,ropz
30,7700,29,19,6,2870,5000,15,3DMAX,259701,76561198168198200,Ex3rcice
31,4900,25,16,9,2576,5100,15,3DMAX,266246,76561198031890115,Lucky
31,4700,19,23,7,2154,5000,15,3DMAX,266246,76561198179538505,Graviti
31,9550,22,21,4,2204,5700,16,Team Vitality,266246,76561197973140692,mezii
31,7300,23,20,7,2613,8150,16,Team Vitality,266246,76561198113666193,ZywOo
31,4100,11,25,8,1551,5400,15,3DMAX,266246,76561198047876970,Djoko
31,9450,18,24,5,2081,5200,16,Team Vitality,266246,76561197989744167,apEX
31,5200,20,21,6,2660,5800,16,Team Vitality,266246,76561197978835160,flameZ
31,1550,21,20,5,2093,7250,15,3DMAX,266246,76561198045739761,Maka
31,9950,21,19,4,2437,5600,16,Team Vitality,266246,76561197991272318,ropz
31,2750,29,20,6,2870,5000,15,3DMAX,266246,76561198168198200,Ex3rcice
32,2700,26,17,9,2676,5100,15,3DMAX,271341,76561198031890115,Lucky
32,0,20,24,7,2308,5100,15,3DMAX,271341,76561198179538505,Graviti
32,12700,26,21,4,2508,5600,17,Team Vitality,271341,76561197973140692,mezii
32,2500,24,21,7,2713,8150,17,Team Vitality,271341,76561198113666193,ZywOo
32,1100,11,26,8,1551,5400,15,3DMAX,271341,76561198047876970,Djoko
